,node_id,ip_addr
0,N7921,"[nan, '24.220.13.254', '64.33.237.145', '64.33.237.225', '66.115.196.173', '66.115.208.101', '66.231.21.53', '66.231.21.201', '66.231.21.237', nan]"
1,N17798,"[nan, '66.128.168.233', '66.231.21.9', '66.231.21.41', '66.231.21.45', '66.231.21.202', nan, nan, nan, nan]"
2,N23990,"[nan, '64.33.237.189', '66.231.21.21', '66.231.21.42', '66.231.21.54', nan, nan, nan, nan, nan]"
3,N32044,"[nan, '38.140.144.50', '66.231.21.46', '213.248.84.219', nan, nan, nan, nan, nan, nan]"
4,N34955,"[nan, '64.33.248.222', '206.176.66.5', '206.176.66.201', nan, nan, nan, nan, nan, nan]"
5,N61914,"[nan, '66.115.208.190', '146.57.255.94', nan, nan, nan, nan, nan, nan, nan]"
6,N61915,"[nan, '66.115.210.66', '146.57.255.92', nan, nan, nan, nan, nan, nan, nan]"
7,N62291,"[nan, '66.231.1.94', '208.53.215.158', nan, nan, nan, nan, nan, nan, nan]"
8,N62292,"[nan, '66.231.5.234', '209.237.116.142', nan, nan, nan, nan, nan, nan, nan]"
9,N62293,"[nan, '66.231.21.222', '128.177.85.158', nan, nan, nan, nan, nan, nan, nan]"
10,N101548,"[nan, '208.53.242.42', '208.53.242.50', nan, nan, nan, nan, nan, nan, nan]"
11,N101549,"[nan, '208.53.242.43', '208.53.242.51', nan, nan, nan, nan, nan, nan, nan]"
12,N652552,"[nan, '216.249.241.110', nan, nan, nan, nan, nan, nan, nan, nan]"
13,N1403392,"[nan, '64.33.236.250', nan, nan, nan, nan, nan, nan, nan, nan]"
14,N1403394,"[nan, '66.231.23.98', nan, nan, nan, nan, nan, nan, nan, nan]"
15,N1403395,"[nan, '66.128.169.198', nan, nan, nan, nan, nan, nan, nan, nan]"
16,N1481627,"[nan, '66.231.1.102', nan, nan, nan, nan, nan, nan, nan, nan]"
17,N1481630,"[nan, '66.231.14.222', nan, nan, nan, nan, nan, nan, nan, nan]"
18,N1481633,"[nan, '66.231.21.82', nan, nan, nan, nan, nan, nan, nan, nan]"
19,N1494888,"[nan, '208.53.195.102', nan, nan, nan, nan, nan, nan, nan, nan]"
20,N1494894,"[nan, '38.104.32.186', nan, nan, nan, nan, nan, nan, nan, nan]"
21,N1494895,"[nan, '62.115.61.9', nan, nan, nan, nan, nan, nan, nan, nan]"
22,N1494905,"[nan, '62.115.42.121', nan, nan, nan, nan, nan, nan, nan, nan]"
23,N1494906,"[nan, '206.126.235.8', nan, nan, nan, nan, nan, nan, nan, nan]"
24,N1550621,"[nan, '64.33.233.246', nan, nan, nan, nan, nan, nan, nan, nan]"
